State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
FL,28,55170,9388,10289,155,19832,35338,36771,6435,6211,155,12801,23970,18399,2953,4078,7031,11368,6333,977,1361,2338,3995,129,8682,2003,129,2132,6550,5331,2201,3130,2012
GA,7,20516,4291,4007,22,8320,12196,15363,2978,1816,22,4816,10547,5153,1313,2191,3504,1649,1779,498,757,1255,524,6,3016,1024,6,1030,1986,2297,1094,1203,2012
HI,2,6246,1141,2560,25,3726,2520,3130,513,537,25,1075,2055,3116,628,2023,2651,465,792,183,498,681,111,17,910,111,17,128,782,507,230,277,2012
IA,3,2928,1164,1616,0,2780,148,1446,756,546,0,1302,144,1482,408,1070,1478,4,466,132,333,465,1,0,270,181,0,181,89,217,205,12,2012
ID,2,1968,770,712,0,1482,486,1175,517,270,0,787,388,793,253,442,695,98,246,74,142,216,30,0,200,90,0,90,110,260,184,76,2012
IL,20,14144,4828,6229,92,11149,2995,8269,3617,2099,92,5808,2461,5875,1211,4130,5341,534,1905,413,1323,1736,169,64,2079,1022,64,1086,993,1147,813,334,2012
IN,3,6259,2934,2411,25,5370,889,3316,1555,1081,25,2661,655,2943,1379,1330,2709,234,955,421,443,864,91,25,461,260,25,285,176,687,547,140,2012
KS,5,2684,1317,1016,17,2350,334,1526,875,373,17,1265,261,1158,442,643,1085,73,346,137,188,325,21,13,307,205,13,218,89,373,329,44,2012
KY,3,5230,2132,2177,10,4319,911,3282,1555,990,10,2555,727,1948,577,1187,1764,184,667,203,410,613,54,1,497,346,1,347,150,440,369,71,2012
LA,9,7772,1375,2397,35,3807,3965,6322,1132,1271,35,2438,3884,1450,243,1126,1369,81,474,83,360,443,31,17,2743,263,17,280,2463,899,450,449,2012
